TxSeq,StratTime,EndTime,TimeUse
5298175,2025-03-02T20:46:27.751491Z,2025-03-02T20:46:27.751499Z,8
5298176,2025-03-02T20:46:27.751471Z,2025-03-02T20:46:27.751478Z,7
5298177,2025-03-02T20:46:27.906960Z,2025-03-02T20:46:27.906967Z,7
5298178,2025-03-02T20:46:39.936170Z,2025-03-02T20:46:39.936175Z,5
5298179,2025-03-02T20:46:39.936164Z,2025-03-02T20:46:39.936171Z,7
5298180,2025-03-02T20:46:45.633652Z,2025-03-02T20:46:45.633657Z,5
5298181,2025-03-02T20:46:45.633658Z,2025-03-02T20:46:45.633659Z,1
5298182,2025-03-02T20:46:45.633664Z,2025-03-02T20:46:45.633669Z,5
5298183,2025-03-02T20:46:45.633648Z,2025-03-02T20:46:45.633655Z,7
5298184,2025-03-02T20:46:51.873261Z,2025-03-02T20:46:51.873268Z,7
5298185,2025-03-02T20:46:51.873255Z,2025-03-02T20:46:51.873262Z,7
5298186,2025-03-02T20:46:57.590258Z,2025-03-02T20:46:57.590260Z,2
5298187,2025-03-02T20:46:57.590249Z,2025-03-02T20:46:57.590254Z,5
5298188,2025-03-02T20:46:57.590251Z,2025-03-02T20:46:57.590258Z,7
5298189,2025-03-02T20:46:57.590264Z,2025-03-02T20:46:57.590272Z,8
5298190,2025-03-02T20:46:57.590251Z,2025-03-02T20:46:57.590259Z,8
5298191,2025-03-02T20:47:03.848468Z,2025-03-02T20:47:03.848471Z,3
5298192,2025-03-02T20:47:03.848470Z,2025-03-02T20:47:03.848472Z,2
5298193,2025-03-02T20:47:03.848457Z,2025-03-02T20:47:03.848474Z,17
5298194,2025-03-02T20:47:03.848472Z,2025-03-02T20:47:03.848480Z,8
5298195,2025-03-02T20:47:03.848458Z,2025-03-02T20:47:03.848465Z,7
5298196,2025-03-02T20:47:03.848475Z,2025-03-02T20:47:03.848477Z,2
5298197,2025-03-02T20:47:03.848475Z,2025-03-02T20:47:03.848477Z,2
5298198,2025-03-02T20:47:03.848457Z,2025-03-02T20:47:03.848469Z,12
5298199,2025-03-02T20:47:10.081130Z,2025-03-02T20:47:10.081140Z,10
5298200,2025-03-02T20:47:10.081148Z,2025-03-02T20:47:10.081149Z,1
5298201,2025-03-02T20:47:10.081139Z,2025-03-02T20:47:10.081144Z,5
5298202,2025-03-02T20:47:10.081146Z,2025-03-02T20:47:10.081147Z,1
5298203,2025-03-02T20:47:10.081152Z,2025-03-02T20:47:10.081160Z,8
5298204,2025-03-02T20:47:10.081136Z,2025-03-02T20:47:10.081144Z,8
5298205,2025-03-02T20:47:15.677636Z,2025-03-02T20:47:15.677642Z,6
