TxSeq,StratTime,EndTime,TimeUse(us)
1459195,2025-03-02T00:24:47.730573Z,2025-03-02T00:24:47.730581Z,8
1459196,2025-03-02T00:24:47.730527Z,2025-03-02T00:24:47.730556Z,29
1459197,2025-03-02T00:24:53.693080Z,2025-03-02T00:24:53.693087Z,7
1459198,2025-03-02T00:24:53.693096Z,2025-03-02T00:24:53.693101Z,5
1459199,2025-03-02T00:24:53.693109Z,2025-03-02T00:24:53.693113Z,4
1459200,2025-03-02T00:24:53.693036Z,2025-03-02T00:24:53.693062Z,26
1459201,2025-03-02T00:24:59.930467Z,2025-03-02T00:24:59.930474Z,7
1459202,2025-03-02T00:24:59.930420Z,2025-03-02T00:24:59.930447Z,27
1459203,2025-03-02T00:25:05.879377Z,2025-03-02T00:25:05.879384Z,7
1459204,2025-03-02T00:25:05.879393Z,2025-03-02T00:25:05.879398Z,5
1459205,2025-03-02T00:25:05.879406Z,2025-03-02T00:25:05.879411Z,5
1459206,2025-03-02T00:25:05.879418Z,2025-03-02T00:25:05.879423Z,5
1459207,2025-03-02T00:25:05.879340Z,2025-03-02T00:25:05.879361Z,21
1459208,2025-03-02T00:25:12.121145Z,2025-03-02T00:25:12.121154Z,9
1459209,2025-03-02T00:25:12.125561Z,2025-03-02T00:25:12.125589Z,28
1459210,2025-03-02T00:25:12.121093Z,2025-03-02T00:25:12.121121Z,28
1459211,2025-03-02T00:25:24.220225Z,2025-03-02T00:25:24.220231Z,6
1459212,2025-03-02T00:25:24.220188Z,2025-03-02T00:25:24.220207Z,19
1459213,2025-03-02T00:25:30.038461Z,2025-03-02T00:25:30.038482Z,21
1459214,2025-03-02T00:25:42.213147Z,2025-03-02T00:25:42.213154Z,7
1459215,2025-03-02T00:25:42.213163Z,2025-03-02T00:25:42.213169Z,6
1459216,2025-03-02T00:25:42.213176Z,2025-03-02T00:25:42.213181Z,5
1459217,2025-03-02T00:25:42.213190Z,2025-03-02T00:25:42.213195Z,5
1459218,2025-03-02T00:25:42.213089Z,2025-03-02T00:25:42.213111Z,22
1459219,2025-03-02T00:25:54.200754Z,2025-03-02T00:25:54.200760Z,6
1459220,2025-03-02T00:25:54.200771Z,2025-03-02T00:25:54.200777Z,6
1459221,2025-03-02T00:25:54.200717Z,2025-03-02T00:25:54.200737Z,20
1459222,2025-03-02T00:25:59.998591Z,2025-03-02T00:25:59.998612Z,21
1459223,2025-03-02T00:26:11.860467Z,2025-03-02T00:26:11.860473Z,6
1459224,2025-03-02T00:26:11.860428Z,2025-03-02T00:26:11.860449Z,21
1459225,2025-03-02T00:26:17.716552Z,2025-03-02T00:26:17.716578Z,26
1459226,2025-03-02T00:26:23.600397Z,2025-03-02T00:26:23.600404Z,7
1459227,2025-03-02T00:26:23.600356Z,2025-03-02T00:26:23.600380Z,24
1459228,2025-03-02T00:26:30.141289Z,2025-03-02T00:26:30.141296Z,7
1459229,2025-03-02T00:26:30.141306Z,2025-03-02T00:26:30.141319Z,13
1459230,2025-03-02T00:26:30.141245Z,2025-03-02T00:26:30.141273Z,28
1459231,2025-03-02T00:26:42.046776Z,2025-03-02T00:26:42.046783Z,7
1459232,2025-03-02T00:26:42.046793Z,2025-03-02T00:26:42.046798Z,5
1459233,2025-03-02T00:26:42.046735Z,2025-03-02T00:26:42.046760Z,25
1459234,2025-03-02T00:26:48.491304Z,2025-03-02T00:26:48.491320Z,16
1459235,2025-03-02T00:26:48.491250Z,2025-03-02T00:26:48.491269Z,19
1459236,2025-03-02T00:27:06.103169Z,2025-03-02T00:27:06.103195Z,26
1459237,2025-03-02T00:27:17.982040Z,2025-03-02T00:27:17.982048Z,8
1459238,2025-03-02T00:27:17.982237Z,2025-03-02T00:27:17.982246Z,9
1459239,2025-03-02T00:27:17.982256Z,2025-03-02T00:27:17.982260Z,4
