TxSeq,StratTime,EndTime,TimeUse(sec)
1459434,2025-03-02T00:39:15.591293Z,2025-03-02T00:39:18.976977Z,3
1459438,2025-03-02T00:39:30.578392Z,2025-03-02T00:39:37.463658Z,6
1459439,2025-03-02T00:39:27.482544Z,2025-03-02T15:53:32.282009Z,54844
1459447,2025-03-02T00:40:03.686639Z,2025-03-02T00:40:07.053799Z,3
1459449,2025-03-02T00:40:03.613054Z,2025-03-02T00:40:03.854289Z,0
1459451,2025-03-02T00:40:16.283643Z,2025-03-02T23:12:30.670587Z,81134
1459453,2025-03-02T00:40:23.073146Z,2025-03-02T00:55:16.127570Z,893
1459467,2025-03-02T00:41:19.313368Z,2025-03-02T00:41:25.558596Z,6
1459470,2025-03-02T00:41:19.253429Z,2025-03-02T00:41:25.546532Z,6
1459476,2025-03-02T00:41:54.628791Z,2025-03-02T00:41:54.662410Z,0
1459478,2025-03-02T00:41:54.548853Z,2025-03-02T00:41:57.677510Z,3
1459486,2025-03-02T00:42:08.147599Z,2025-03-02T00:42:14.429324Z,6
1459487,2025-03-02T00:42:08.262723Z,2025-03-02T00:42:11.411958Z,3
1459490,2025-03-02T00:42:34.168246Z,2025-03-02T00:42:37.207408Z,3
1459492,2025-03-02T00:42:44.204034Z,2025-03-02T08:50:43.712683Z,29279
1459496,2025-03-02T00:43:00.984889Z,2025-03-02T17:54:30.469693Z,61889
1459497,2025-03-02T00:42:57.876357Z,2025-03-02T00:43:00.982897Z,3
1459498,2025-03-02T00:42:57.823878Z,2025-03-02T00:43:00.976780Z,3
1459501,2025-03-02T00:42:57.679483Z,2025-03-02T00:43:00.967193Z,3
1459505,2025-03-02T00:43:14.108806Z,2025-03-02T00:43:14.371545Z,0
1459506,2025-03-02T00:43:14.691506Z,2025-03-02T00:43:21.827472Z,7
1459507,2025-03-02T00:43:14.985573Z,2025-03-02T00:43:18.530881Z,3
1459508,2025-03-02T00:43:22.098103Z,2025-03-02T21:15:11.474700Z,73909
1459515,2025-03-02T00:43:49.246421Z,2025-03-02T00:43:52.896916Z,3
1459517,2025-03-02T00:43:53.394275Z,2025-03-02T08:41:22.870930Z,28649
1459527,2025-03-02T00:44:27.858644Z,2025-03-02T00:44:30.966604Z,3
1459532,2025-03-02T00:44:41.168463Z,2025-03-02T00:44:44.688233Z,3
1459538,2025-03-02T00:44:58.207506Z,2025-03-02T00:45:01.241528Z,3
1459543,2025-03-02T00:45:14.885288Z,2025-03-02T09:31:47.882453Z,31592
1459544,2025-03-02T00:45:14.796852Z,2025-03-02T00:45:17.930979Z,3
1459547,2025-03-02T00:45:27.686793Z,2025-03-02T00:45:30.791096Z,3
1459548,2025-03-02T00:45:27.673145Z,2025-03-02T00:45:30.754967Z,3
1459550,2025-03-02T00:45:30.743608Z,2025-03-02T02:09:49.538952Z,5058
1459555,2025-03-02T00:46:03.632251Z,2025-03-02T00:46:06.670674Z,3
1459561,2025-03-02T00:46:14.112248Z,2025-03-02T00:46:18.288870Z,4
1459562,2025-03-02T00:46:28.814661Z,2025-03-02T22:18:35.316615Z,77526
1459568,2025-03-02T00:46:57.315793Z,2025-03-02T13:15:38.992858Z,44921
1459571,2025-03-02T00:47:10.085733Z,2025-03-02T12:01:13.029682Z,40442
1459573,2025-03-02T00:47:10.049535Z,2025-03-02T00:47:13.139756Z,3
1459591,2025-03-02T00:47:57.136817Z,2025-03-02T15:56:25.443736Z,54508
1459592,2025-03-02T00:48:03.335091Z,2025-03-02T00:48:06.413727Z,3
1459593,2025-03-02T00:48:03.394319Z,2025-03-02T23:12:07.862586Z,80644
1459594,2025-03-02T00:48:03.371617Z,2025-03-02T00:48:06.418372Z,3
1459597,2025-03-02T00:48:21.829803Z,2025-03-02T00:48:24.914623Z,3
1459605,2025-03-02T00:48:47.211976Z,2025-03-02T00:53:43.789576Z,296
1459610,2025-03-02T00:48:59.883083Z,2025-03-02T00:49:05.926532Z,6
1459612,2025-03-02T00:49:18.856771Z,2025-03-02T18:50:12.177989Z,64853
1459615,2025-03-02T00:49:31.434829Z,2025-03-02T00:49:34.616995Z,3
1459617,2025-03-02T00:49:34.574484Z,2025-03-02T01:39:42.263706Z,3007
1459619,2025-03-02T00:49:37.707964Z,2025-03-02T00:49:40.757824Z,3
1459625,2025-03-02T00:50:06.947429Z,2025-03-02T00:50:10.078558Z,3
1459636,2025-03-02T00:50:52.725899Z,2025-03-02T03:26:51.777119Z,9359
1459639,2025-03-02T00:50:59.121830Z,2025-03-02T00:51:02.273150Z,3
1459644,2025-03-02T00:51:25.835893Z,2025-03-02T00:51:29.426156Z,3
1459651,2025-03-02T00:51:44.350087Z,2025-03-02T00:51:47.554727Z,3
1459652,2025-03-02T00:51:51.222228Z,2025-03-02T00:51:54.576780Z,3
1459653,2025-03-02T00:51:56.968384Z,2025-03-02T00:52:03.551651Z,6
1459654,2025-03-02T00:52:03.599372Z,2025-03-02T00:52:06.711205Z,3
1459656,2025-03-02T00:52:03.581171Z,2025-03-02T00:52:06.695551Z,3
1459657,2025-03-02T00:52:03.554072Z,2025-03-02T00:52:06.702971Z,3
1459668,2025-03-02T00:52:30.916107Z,2025-03-02T00:52:34.841380Z,3
1459669,2025-03-02T00:52:30.889307Z,2025-03-02T00:52:34.885891Z,3
1459672,2025-03-02T00:52:50.074657Z,2025-03-02T00:52:53.214575Z,3
1459680,2025-03-02T00:53:05.259134Z,2025-03-02T23:01:40.738025Z,79715
1459682,2025-03-02T00:53:26.181650Z,2025-03-02T00:53:29.302878Z,3
1459683,2025-03-02T00:53:29.425818Z,2025-03-02T00:53:32.890963Z,3
1459687,2025-03-02T00:53:40.254386Z,2025-03-02T00:53:43.386514Z,3
1459688,2025-03-02T00:53:40.075230Z,2025-03-02T00:53:43.373538Z,3
1459695,2025-03-02T00:53:59.626541Z,2025-03-02T00:54:05.767666Z,6
1459704,2025-03-02T00:54:40.395673Z,2025-03-02T00:54:43.694402Z,3
1459705,2025-03-02T00:54:37.080791Z,2025-03-02T00:54:40.382824Z,3
1459706,2025-03-02T00:54:52.625743Z,2025-03-02T00:54:56.032588Z,3
1459707,2025-03-02T00:54:52.318784Z,2025-03-02T10:12:30.167766Z,33457
1459747,2025-03-02T00:57:09.789064Z,2025-03-02T00:57:16.531261Z,6
1459754,2025-03-02T00:57:39.630532Z,2025-03-02T00:57:43.014126Z,3
1459757,2025-03-02T00:57:52.064911Z,2025-03-02T00:57:55.275227Z,3
1459759,2025-03-02T00:57:51.341808Z,2025-03-02T00:57:58.449910Z,7
1459760,2025-03-02T00:57:51.916045Z,2025-03-02T00:57:58.476766Z,6
1459763,2025-03-02T00:58:06.607534Z,2025-03-02T00:58:12.999033Z,6
1459764,2025-03-02T00:58:06.650980Z,2025-03-02T00:58:12.982808Z,6
1459765,2025-03-02T00:58:20.605849Z,2025-03-02T00:58:27.306831Z,6
1459766,2025-03-02T00:58:27.332536Z,2025-03-02T06:55:35.083094Z,21427
1459768,2025-03-02T00:58:20.406893Z,2025-03-02T00:58:24.047541Z,3
1459773,2025-03-02T00:58:42.098475Z,2025-03-02T00:58:48.583695Z,6
1459779,2025-03-02T00:59:10.294340Z,2025-03-02T00:59:13.432838Z,3
1459780,2025-03-02T00:59:10.274819Z,2025-03-02T00:59:13.407819Z,3
1459781,2025-03-02T00:59:10.337225Z,2025-03-02T00:59:13.498379Z,3
1459782,2025-03-02T00:59:10.345206Z,2025-03-02T17:54:23.711737Z,60913
1459788,2025-03-02T00:59:24.750604Z,2025-03-02T00:59:31.586294Z,6
