Timestamp,ScratchPad(us),ScratchPadRate,Loading(us),LoadingRate,PadMix(us),PadMixRate,Hit(us),HitRate
2025-03-02T17:57:00.645387Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:57:05.647815Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:57:10.658005Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:57:15.665813Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:57:20.667975Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:57:25.676399Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:57:30.680380Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:57:35.686798Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:57:40.726414Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:57:45.738868Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:57:50.749012Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:57:55.752625Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:58:00.760221Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:58:05.770820Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:58:10.781791Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:58:15.782429Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:58:20.786010Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:58:25.787256Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:58:30.793957Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:58:35.794541Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:58:40.873505Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:58:45.874708Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:58:50.891496Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:58:55.900088Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:59:00.931992Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:59:05.964880Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:59:10.969757Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:59:15.972598Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:59:20.993826Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:59:25.998109Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:59:31.007365Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:59:36.010536Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:59:41.027852Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:59:46.035622Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:59:51.044387Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:59:56.045500Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T18:00:01.049980Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T18:00:06.052685Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T18:00:11.291946Z,15524167,8.21,15524167,8.21,926772708,464.19,179,0.00
2025-03-02T18:00:16.304823Z,15524208,8.18,15524208,8.18,926775140,485.15,179,0.00
2025-03-02T18:00:21.428027Z,15524252,8.59,15524252,8.59,926777626,485.24,179,0.00
2025-03-02T18:00:26.470527Z,15524319,13.29,15524319,13.29,926781394,747.25,179,0.00
2025-03-02T18:00:31.570624Z,15524406,17.06,15524406,17.06,926786706,1041.55,179,0.00
2025-03-02T18:00:36.574394Z,15524479,14.59,15524479,14.59,926790930,844.16,179,0.00
2025-03-02T18:00:41.738335Z,15524574,18.40,15524574,18.40,926796754,1127.82,179,0.00
2025-03-02T18:00:46.777053Z,15524642,13.50,15524642,13.50,926800658,774.80,179,0.00
2025-03-02T18:00:51.933188Z,15524744,19.78,15524744,19.78,926806382,1110.13,179,0.00
2025-03-02T18:00:56.976970Z,15524836,18.24,15524836,18.24,926812014,1116.62,179,0.00
2025-03-02T18:01:01.980386Z,15524981,28.98,15524981,28.98,926820614,1718.83,179,0.00
2025-03-02T18:01:06.981848Z,15525149,33.59,15525149,33.59,926830362,1949.03,179,0.00
2025-03-02T18:01:11.985405Z,15525350,40.17,15525350,40.17,926842266,2379.11,179,0.00
2025-03-02T18:01:16.991012Z,15525478,25.57,15525478,25.57,926849908,1526.69,179,0.00
2025-03-02T18:01:21.993497Z,15525561,16.59,15525561,16.59,926854888,995.51,179,0.00
2025-03-02T18:01:26.996578Z,15525649,17.59,15525649,17.59,926860200,1061.75,179,0.00
2025-03-02T18:01:31.998262Z,15525809,31.99,15525809,31.99,926869709,1901.16,179,0.00
2025-03-02T18:01:37.127406Z,15525887,15.21,15525887,15.21,926874429,920.23,179,0.00
2025-03-02T18:01:42.494349Z,15525957,13.04,15525957,13.04,926878716,798.78,179,0.00
2025-03-02T18:01:47.509252Z,15526023,13.16,15526023,13.16,926882620,778.48,179,0.00
2025-03-02T18:01:52.525618Z,15526107,16.75,15526107,16.75,926887804,1033.42,179,0.00
2025-03-02T18:01:57.544286Z,15526216,21.72,15526216,21.72,926893940,1222.64,179,0.00
2025-03-02T18:02:02.748936Z,15526388,33.05,15526388,33.05,926904436,2016.66,179,0.00
2025-03-02T18:02:07.792607Z,15526458,13.88,15526458,13.88,926908446,795.06,179,0.00
2025-03-02T18:02:12.854172Z,15526603,28.65,15526603,28.65,926916858,1661.94,179,0.00
2025-03-02T18:02:17.901484Z,15526696,18.43,15526696,18.43,926922466,1111.09,179,0.00
2025-03-02T18:02:22.964437Z,15526811,22.71,15526811,22.71,926929366,1362.84,179,0.00
2025-03-02T18:02:28.019427Z,15526945,26.51,15526945,26.51,926937028,1515.73,179,0.00
2025-03-02T18:02:33.020653Z,15527057,22.39,15527057,22.39,926943852,1364.47,179,0.00
2025-03-02T18:02:38.030362Z,15527181,24.75,15527181,24.75,926951158,1458.37,179,0.00
2025-03-02T18:02:43.034453Z,15527258,15.39,15527258,15.39,926955668,901.26,179,0.00
2025-03-02T18:02:48.036434Z,15527330,14.39,15527330,14.39,926959956,857.26,179,0.00
2025-03-02T18:02:53.070509Z,15527421,18.08,15527421,18.08,926965652,1131.49,179,0.00
2025-03-02T18:02:58.085557Z,15527519,19.54,15527519,19.54,926971546,1175.26,179,0.00
2025-03-02T18:03:03.086813Z,15527636,23.39,15527636,23.39,926978650,1420.44,179,0.00
2025-03-02T18:03:08.092463Z,15527805,33.76,15527805,33.76,926988954,2058.47,179,0.00
2025-03-02T18:03:13.119387Z,15527955,29.84,15527955,29.84,926997812,1762.11,179,0.00
2025-03-02T18:03:18.132757Z,15528068,22.54,15528068,22.54,927004712,1376.32,179,0.00
2025-03-02T18:03:23.168303Z,15528163,18.87,15528163,18.87,927010536,1156.58,179,0.00
2025-03-02T18:03:28.176171Z,15528246,16.57,15528246,16.57,927015388,968.88,179,0.00
2025-03-02T18:03:33.177211Z,15528359,22.60,15528359,22.60,927022006,1323.32,179,0.00
2025-03-02T18:03:38.290742Z,15528473,22.29,15528473,22.29,927028778,1324.33,179,0.00
2025-03-02T18:03:43.344425Z,15528533,11.87,15528533,11.87,927032554,747.18,179,0.00
2025-03-02T18:03:48.383231Z,15528597,12.70,15528597,12.70,927036265,736.48,179,0.00
2025-03-02T18:03:53.394279Z,15528701,20.75,15528701,20.75,927042077,1159.84,179,0.00
2025-03-02T18:03:58.395558Z,15528814,22.59,15528814,22.59,927048733,1330.86,179,0.00
2025-03-02T18:04:03.399354Z,15528990,35.17,15528990,35.17,927058694,1990.69,179,0.00
2025-03-02T18:04:08.405053Z,15529097,21.38,15529097,21.38,927064895,1238.79,179,0.00
2025-03-02T18:04:13.432062Z,15529312,42.77,15529312,42.77,927077695,2546.25,179,0.00
2025-03-02T18:04:18.460555Z,15529398,17.10,15529398,17.10,927082871,1029.33,179,0.00
